transaction_id,date,company,customer_id,volume_kg,price_per_kg,cost_per_kg,product,region
0,2024-04-12,Milkand,1664,149,1.25,0.74,Dairy,South
1,2024-12-14,Milkand,1089,2873,1.23,0.83,Dairy,West
2,2024-09-27,Milkand,1615,2015,1.37,0.68,Dairy,West
3,2024-04-16,Milkand,1947,2536,1.35,0.71,Dairy,North
4,2024-03-12,Milkand,1523,1904,1.23,0.78,Dairy,East
5,2024-07-07,Milkand,1159,1830,1.16,0.69,Dairy,West
6,2024-01-21,Milkand,1928,1889,1.11,0.71,Dairy,North
7,2024-04-12,Milkand,1457,1114,1.17,0.84,Dairy,North
8,2024-05-01,Milkand,1707,2622,1.28,0.84,Dairy,East
9,2024-08-02,Milkand,1398,2903,1.24,0.78,Dairy,North
10,2024-11-26,Milkand,1818,2750,1.18,0.77,Dairy,West
11,2024-03-28,Milkand,1773,1129,1.22,0.72,Dairy,West
12,2024-04-09,Milkand,1090,2940,1.39,0.75,Dairy,East
13,2024-12-25,Milkand,1708,511,1.34,0.71,Dairy,West
14,2024-05-31,Milkand,1580,2081,1.39,0.83,Dairy,East
15,2024-05-10,Milkand,1465,761,1.19,0.76,Dairy,North
16,2024-05-29,Milkand,1219,1447,1.31,0.74,Dairy,North
17,2024-11-04,Milkand,1418,1405,1.31,0.75,Dairy,West
18,2024-09-14,Milkand,1378,290,1.37,0.72,Dairy,East
19,2024-12-09,Milkand,1725,2933,1.25,0.78,Dairy,South
20,2024-10-20,Milkand,1929,684,1.19,0.74,Dairy,West
21,2024-07-10,Milkand,1446,1058,1.18,0.9,Dairy,North
22,2024-10-03,Milkand,1963,1953,1.25,0.73,Dairy,South
23,2024-06-09,Milkand,1145,599,1.26,0.79,Dairy,South
24,2024-11-09,Milkand,1232,679,1.27,0.84,Dairy,North
25,2024-01-22,Milkand,1370,915,1.14,0.61,Dairy,East
26,2024-09-09,Milkand,1921,1576,1.35,0.73,Dairy,West
27,2024-08-23,Milkand,1233,1616,1.14,0.83,Dairy,East
28,2024-12-10,Milkand,1725,1769,1.35,0.64,Dairy,South
29,2024-02-18,Milkand,1366,2137,1.22,0.81,Dairy,East
30,2024-02-28,Milkand,1480,1430,1.4,0.77,Dairy,West
31,2024-06-18,Milkand,1572,879,1.11,0.83,Dairy,South
32,2024-07-06,Milkand,1362,1249,1.34,0.74,Dairy,South
33,2024-09-27,Milkand,1589,2412,1.17,0.76,Dairy,East
34,2024-07-08,Milkand,1510,106,1.16,0.69,Dairy,East
35,2024-06-23,Milkand,1094,1536,1.38,0.74,Dairy,South
36,2024-02-20,Milkand,1841,794,1.31,0.71,Dairy,West
37,2024-12-29,Milkand,1215,1091,1.13,0.72,Dairy,South
38,2024-02-24,Milkand,1724,1566,1.27,0.76,Dairy,East
39,2024-08-31,Milkand,1815,2075,1.36,0.71,Dairy,East
40,2024-11-15,Milkand,1711,847,1.29,0.64,Dairy,South
41,2024-05-10,Milkand,1863,245,1.25,0.76,Dairy,North
42,2024-11-02,Milkand,1542,2388,1.34,0.76,Dairy,West
43,2024-05-14,Milkand,1801,956,1.28,0.79,Dairy,South
44,2024-01-21,Milkand,1854,386,1.12,0.75,Dairy,North
45,2024-11-24,Milkand,1984,1051,1.26,0.7,Dairy,West
46,2024-06-15,Milkand,1134,125,1.29,0.83,Dairy,South
47,2024-09-30,Milkand,1082,551,1.27,0.73,Dairy,South
48,2024-03-29,Milkand,1390,2253,1.22,0.7,Dairy,South
49,2024-11-11,Milkand,1046,339,1.29,0.82,Dairy,South
50,2024-01-14,Milkand,1391,431,1.26,0.84,Dairy,North
51,2024-08-29,Milkand,1717,2014,1.09,0.61,Dairy,East
52,2024-09-21,Milkand,1384,1165,1.14,0.7,Dairy,North
53,2024-12-11,Milkand,1380,744,1.27,0.74,Dairy,East
54,2024-02-22,Milkand,1076,1952,1.31,0.76,Dairy,West
